Picture ID,Scene Type,General Description,Object,Category,Count,Function/Role,Material,Spatial Position,Depth - Horizontal - Vertical,Interaction,Notes,Qualitative Description
SK-A-23.jpg,Interior / Study / Scholarly,"Solitary male figure seated at desk in book-lines interior
",person,human,1,"domestic interaction, working",human,foreground,center - center,active,"Central figure, head resting on hand",
SK-A-23.jpg,,,table,furniture,1,"surface, writing",wood,foreground,left - center,passive,Covered with cloth and books,
SK-A-23.jpg,,,chair,furniture,1,"seating, decorative",wood,foreground,center - center,active,Supporting figure,
SK-A-23.jpg,,,stool,furniture,1,"seating, surface",wood,foreground,left - bottom,passive,Positioned in front of desk,
SK-A-23.jpg,,,book (open),document,3,"knowledge, reading",paper,foreground,left - center,active,Open on desk,
SK-A-23.jpg,,,book (stacked),document,9,"knowledge, storage, studying",paper,foreground,left - center,passive,Stacked beside open book,
SK-A-23.jpg,,,shelf,furniture,1,storage,wood,background,"center - center, left - center, center - bottom, left - bottom",passive,Filled with books,
SK-A-23.jpg,,,book (closed),document,50,"knowledge, reading",paper,background,"center - center, left - center, center - bottom, left - bottom",passive,Lining entire back wall,
SK-A-23.jpg,,,window,opening,1,"light source, architectural structure","glass, wood",left background,left - top,passive,Primary light source,
SK-A-23.jpg,,,cabinet,furniture,2,"storage, display storage",wood,background,left - center,passive,wall-mounted,
SK-A-23.jpg,,,jug,container,1,"holding, storage",glass,background (on cabinet),left - top,passive,On top of cabinet,
SK-A-23.jpg,,,cloth,tool,1,"covering, cleaning",textile,foreground,left - center,passive,Draped over desk,
SK-A-23.jpg,,,doorway,opening,1,"enter/exit, architectural structure, light source",wood,background,"right - center, right - bottom",passive,,
SK-A-23.jpg,,,painting,artwork,1,decorative,"textile, wood",background,"left - top, left - center",passive,,
SK-A-23.jpg,,,barrier,structural element,1,architectural structure,wood,background,left - bottom,passive,,
SK-A-23.jpg,,,door,opening,1,"enter/exit, architectural structure, structural element",wood,background,"right - center, right - bottom",passive,Positioned on the left background,
"SK-A-54.jpg
","Domestic / Family Interior
","Multi-figure domestic scene with child discipline and seated family members
",person,human,11,"domestic interaction, working",human,foreground & midground,"center - center, left - center, rightt - center, left - bottom, right - bottom",active,Central group around table,
"SK-A-54.jpg
",,,table,furniture,1,"surface, writing",wood,midground,center - center,passive,Central compositional anchor,
"SK-A-54.jpg
",,,chair,furniture,1,"seating, decorative",wood,right foreground,right - bottom,active,Used by a seated adult figure (female),
"SK-A-54.jpg
",,,stool,furniture,1,"seating, surface",wood,left foreground,left - bottom,passive,"Partially visible, seated by a child (female)",
"SK-A-54.jpg
",,,window,achitectural element,1,"light source, architectural structure","glass, wood",background,left - center,passive,Back wall,
"SK-A-54.jpg
",,,fruit,food,1,"nourishment, decorative",flora,midground,center - center,passive,Grapes & fruit bowl,
"SK-A-54.jpg
",,,plate,container,1,"serving, decorative","ceramic, metal",midground,center - center,passive,On table,
"SK-A-54.jpg
",,,cloth,tool,1,"covering, cleaning",textile,midground,center - center,passive,Draped over table,
"SK-A-54.jpg
",,,hat,clothing,1,"clothing, cloting",textile,foreground,left - bottom,passive,Fallen near center,
"SK-A-54.jpg
",,,pipe,domestic object,1,"smoking, leisure","wood, ceramic",right background,right - center,active,Held by standing man,
"SK-A-54.jpg
",,,basket,container,1,"storage, holding",wood,right foreground,right - bottom,passive,Near seated woman,
"SK-A-54.jpg
",,,walking staff,tool,1,"support, mobility aid",wood,foreground,right - bottom ,passive,On floor right,
SK-A-60.jpg,Craft / Domestic Interior,"Two elderly men in an interior with spinning equipment and domestic objects
",person,human,2,"domestic interaction, working",human,foreground,"center - center, center - bottom",active,"One standing, one seated",
SK-A-60.jpg,,,spinning wheel,tool,1,"textile production, craft activity, textile tool",wood,foreground,center - center,active,Large wheel central,
SK-A-60.jpg,,,chair,furniture,1,"seating, decorative",wood,foreground,right - bottom,active,Supporting seated man,
SK-A-60.jpg,,,jug,container,1,"holding, storage",ceramic,foreground,right - center,active,Held by seated man,
SK-A-60.jpg,,,basket,container,1,"storage, holding",wood,foreground,left - center,active,being held by one man standing,
SK-A-60.jpg,,,walking staff,tool,1,"support, mobility aid",wood,foreground,"left - top, left - center",active,being held by one man standing,
SK-A-60.jpg,,,coat,clothing,2,"clothing, clothign",textile,background,center - top,passive,hanging on wall,
SK-A-60.jpg,,,landscape,structural element,1,"contextual setting, outdoors, setting",flora,background,left - center,passive,,
SK-A-60.jpg,,,door,opening,1,"enter/exit, architectural structure, structural element",wood,background,left - center,passive,open on left,
"SK-A-61.jpg
","Domestic
","Two elderly men sitting next to the fireplace
",person,human,2,"domestic interaction, working",human,foreground,center - center,active,"One adult male smoking, other drinking",
"SK-A-61.jpg
",,,chair,furniture,2,"seating, decorative",wood,foreground,"center - center, right - center, center - bottom, right - bottom",active,Both supporting seated figures,
"SK-A-61.jpg
",,,board,domestic object,1,"domestic interaction, calculating, writing, cutting","wood, stone",background,"center - top, right - top, right - center",passive,Placed on the wall in the background with some numbers written,
"SK-A-61.jpg
",,,table,furniture,1,"surface, writing",wood,midground,center - bottom,asctive,,
"SK-A-61.jpg
",,,pipe,domestic object,3,"smoking, leisure","wood, ceramic",foreground,center - center,active & passive,One active (person’s hand) and 2 passive,
"SK-A-61.jpg
",,,fireplace,structural element,1,"fire, cooking","ceramic, stone",background,"left - center, left - bottom",passive,,
"SK-A-61.jpg
",,,candle,domestic object,1,"light source, decorative",metal,"background, attatched to wall close to fireplace",left - center,passive,,
"SK-A-61.jpg
",,,fire starter,tool,2,fire,metal,midground (floor),center - bottom,passive,,
"SK-A-61.jpg
",,,flask,container,2,container,ceramic,midground,"left - center, left - bottom",passive,holding in hand,
"SK-A-61.jpg
",,,stone floor,structural element,1,structural,stone,background,left - bottom,passive,infront of fireplace,
SK-A-62.jpg,Domestic / Child Play ,Young girl  interacting with another younger child using a small tool/toy,person,human,2,"domestic interaction, working",human,foreground,"center - center, right - center, left - center",active,one is pointing and using the toy/tool and the other leaning towards it,
SK-A-62.jpg,,,table,furniture,1,"surface, writing",wood,foreground,right - bottom,passive,central surface,
SK-A-62.jpg,,,toy,domestic object,1,toy,wood,foreground,"right - center, center - center",active,small box with handle,
SK-A-62.jpg,,,flowers,botanical,2,"decorative, aesthetic",flora,foreground,right - bottom,passive,,
SK-A-87.jpg,Domestic / Nighttime Candlelight,"adult instructs several children gathered around a table illuminated by a candle and lantern, suggesting a nighttime learning or study environment.",person,human,6,"domestic interaction, working",human,midground,"center - center, left - center, right - center",active,,
SK-A-87.jpg,,,table,furniture,1,"surface, writing",wood,midground,left - center,active,,
SK-A-87.jpg,,,candle,domestic object,2,"light source, decorative",metal,midground ,"left - center, center - center",passive,,
SK-A-87.jpg,,,book (open),document,2,"knowledge, reading",paper,midground,"right - center, center - center",active,,
SK-A-87.jpg,,,board,domestic object,1,"domestic interaction, calculating, writing, cutting",stone,foreground,left - bottom,active,,
SK-A-87.jpg,,,hourglass,domestic object,1,timekeeping,"glass, wood",midground,left - center,passive,,
